Order #,Total Qty,Actual Qty,Address
356543,1,2,
356855,1,2,
356868,1,2,
356877,1,2,
355690,1,2,
355691,1,2,
355739,1,2,
355740,1,2,
355777,1,2,
355996,1,2,
356010,1,2,
356011,1,2,
356019,1,2,
356027,1,2,
356211,1,2,
356219,1,2,
356230,1,2,
356243,1,2,
356261,1,2,
356267,1,2,
356482,1,2,
356528,1,2,
356551,1,2,
356566,1,2,
356836,1,2,
356847,1,2,
356849,1,2,
356858,1,2,
356862,1,2,
356876,1,2,
356884,1,2,
356885,1,2,
356893,1,2,
356896,1,2,
357209,1,2,
357215,1,2,
357216,1,2,
357217,1,2,
357224,1,2,
357227,1,2,
354782,1,1,
355155,1,1,
355156,1,1,
355330,1,1,
355348,1,1,
356530,1,1,
356589,1,1,
356590,1,1,
356595,1,1,
356823,1,1,
